romanization_key	word_id	confidence
baeya	18	0.333
cab	19	1.0
cahb	19	0.5
jab	19	0.333
caab	19	0.25
chab	19	0.2
yovuw	20	1.0
yovuuw	20	0.5
yovoow	20	0.333
yorvuw	20	0.25
yohvuw	20	0.2
nopepuduxaxurey	21	1.0
nopeepuduxaxurey	21	0.5
nopepuduuxaxurey	21	0.333
nopepuduxaxoorey	21	0.25
nopepuduxaxureey	21	0.2
pudon	22	1.0
pudorn	22	0.5
pudoon	22	0.333
phudon	22	0.25
pudohn	22	0.2
fanogapogac	23	1.0
fanogapogahc	23	0.5
fanogapohgac	23	0.333
fanogahpogach	23	0.25
mozezevifox	24	1.0
mohzezevifox	24	0.5
mozeezevifox	24	0.333
mozezevyfox	24	0.25
jetul	25	1.0
jeetul	25	0.5
jetuul	25	0.333
jetool	25	0.25
jehdul	25	0.2
yaqunimu	26	1.0
yaquunimu	26	0.5
yaqunimoo	26	0.333
yahqunimu	26	0.25
ripewemib	27	1.0
rypewemib	27	0.5
ripeweemib	27	0.333
riphewemib	27	0.25
bej	28	1.0
baej	28	0.5
behj	28	0.333
kafunutebifaj	29	1.0
kaafunutebifaj	29	0.5
khafunutebifaj	29	0.333
kafunuutebyfaj	29	0.25
qalis	30	1.0
qalish	30	0.5
qaliis	30	0.333
qaliiz	30	0.25
vebevoqo	31	1.0
vebevohqo	31	0.5
vebevorqo	31	0.333
vebevooqo	31	0.25
vaxuye	32	1.0
vaaxuye	32	0.5
vaxuyeh	32	0.333
vaxuuye	32	0.25
vaxuuyae	32	0.2
fow	33	1.0
fohw	33	0.5
foow	33	0.333
xavidul	34	1.0
xahvidul	34	0.5
xaveedul	34	0.333
xaviduul	34	0.25
qesa	35	1.0
qesaa	35	0.5
qezah	35	0.333
raqitiderixab	36	1.0
raqithiderixab	36	0.5
raqitiderixahb	36	0.333
raqitidereexab	36	0.25
rahqitiderixab	36	0.2
poroxecipay	37	1.0
porohxeecipay	37	0.5
poorooxecipay	37	0.333
poroxaecipay	37	0.25
porohxecipay	37	0.2
kusepu	38	1.0
kusephu	38	0.5
kusepoo	38	0.333
jayoqot	39	1.0
jayohqot	39	0.5
jayoqoth	39	0.333
jayohqoth	39	0.25
jayorqot	39	0.2
tuluti	40	1.0
tuloothi	40	0.5
tooluti	40	0.333
tuluty	40	0.25
fijifinofap	41	1.0
fyjifinofab	41	0.5
fijifynofap	41	0.333
fijifiinofap	41	0.25
fijifinoofap	41	0.2
kizih	42	1.0
kyzih	42	0.5
kizeeh	42	0.333
meviyebutukunid	43	1.0
meveeyebutukunid	43	0.5
meviyebutukunyd	43	0.333
meviyebutukuniid	43	0.25
meviyebudukunid	43	0.2
comopa	44	1.0
comorpa	44	0.5
coomopa	44	0.333
girivaqowunoso	45	1.0
girivaqowunosho	45	0.5
girivaqowuunoso	45	0.333
yiporuseborux	46	1.0
yipooruseborux	46	0.5
yeeporuseborrux	46	0.333
yiporuseboroox	46	0.25
zenowi	47	1.0
zeenowi	47	0.5
zenowee	47	0.333
palidosadup	48	1.0
palidosadub	48	0.5
balidosadup	48	0.333
palidosaduph	48	0.25
seqododigoq	49	1.0
seqododygoq	49	0.5
seqodohdigoq	49	0.333
seqododiigoq	49	0.25
lucenixujox	50	1.0
lucenyxujox	50	0.5
lujenixujox	50	0.333
lucenixujoox	50	0.25
luceniixujohx	50	0.2
deforubu	51	1.0
dehforubu	51	0.5
defooruboo	51	0.333
defoorubu	51	0.25
kepin	52	1.0
gepin	52	0.5
kepyn	52	0.333
nefakoyulonoh	53	1.0
nehfakoyulonoh	53	0.5
nefakoyulonorh	53	0.333
nefakoyulornoh	53	0.25
gejayu	54	1.0
gejayoo	54	0.5
gejahyu	54	0.333
qeyaqosa	55	1.0
qeyaaqosa	55	0.5
qeyaqoosa	55	0.333
qeyahqosaa	55	0.25
hehaseye	56	1.0
hehaseeye	56	0.5
hehaseyeh	56	0.333
yafexoce	57	1.0
yafehxoce	57	0.5
yahfexocee	57	0.333
yafexoje	57	0.25
yafexooce	57	0.2
six	58	1.0
seex	58	0.5
shix	58	0.333
siix	58	0.25
doqo	59	1.0
dorqo	59	0.5
doqor	59	0.333
dorqor	59	0.25
dohqo	59	0.2
yedozipeniy	60	1.0
yedozipehniy	60	0.5
yedozipeniiy	60	0.333
yaedozipeniy	60	0.25
necuqefu	61	1.0
nejuqefu	61	0.5
necuqefoo	61	0.333
necuuqefu	61	0.25
biyadowiwusodoj	62	1.0
biyadowiwusordoj	62	0.5
biyadoowiwusodoj	62	0.333
biyadowiwusodohj	62	0.25
biyadowiwusohdoj	62	0.2
kur	63	1.0
kuur	63	0.5
khur	63	0.333
koor	63	0.25
gur	63	0.2
wokayijajuwojul	64	1.0
wokayijajuwoojul	64	0.5
wokayijahjuwojul	64	0.333
gugubafip	65	1.0
guguubafip	65	0.5
gugubafeep	65	0.333
gugubafib	65	0.25
gugubafiph	65	0.2
fawokuyaka	66	1.0
fawohkuyaka	66	0.5
fahwokuyaka	66	0.333
wizifulecoyeli	67	1.0
wiziifulecoyeli	67	0.5
wizifulaecoyeli	67	0.333
wizifuleecoyeli	67	0.25
wizifulecoyaeli	67	0.2
tidodagivehepuz	68	1.0
tidoodagivehepuz	68	0.5
tidodageevehepuz	68	0.333
tidodagiveheepuz	68	0.25
thidodagivehepuuz	68	0.2
goj	69	1.0
gohj	69	0.5
gorj	69	0.333
sokefocosekac	70	1.0
sokefohcosekac	70	0.5
sokefocosekahc	70	0.333
sokefoocosekac	70	0.25
ciy	71	1.0
jiy	71	0.5
chiiy	71	0.333
jeey	71	0.25
cyy	71	0.2
miniducu	72	1.0
minyducu	72	0.5
meenidoocu	72	0.333
miniiducu	72	0.25
meeniducu	72	0.2
poruwatowif	73	1.0
poroowatowif	73	0.5
poruwaatowif	73	0.333
poruwatoweef	73	0.25
phorruwatowif	73	0.2
holosev	74	1.0
holosehv	74	0.5
hohlorsev	74	0.333
hohlosev	74	0.25
holoosev	74	0.2
junexeco	75	1.0
juneexeco	75	0.5
joonexeco	75	0.333
junexejo	75	0.25
xuwucugo	76	1.0
xuwuchuugo	76	0.5
xuwucoogo	76	0.333
xuwoocugo	76	0.25
rekifocekelew	77	1.0
rekyfocekelew	77	0.5
rekifocekelaew	77	0.333
rekifocehkelew	77	0.25
dobaw	78	1.0
dobahw	78	0.5
dobaaw	78	0.333
pacaxiveweyoyiq	79	1.0
pacaxivehweyoyiq	79	0.5
paacaxiveweyoyiq	79	0.333
pacaxeeveweyoyiq	79	0.25
yuni	80	1.0
yuny	80	0.5
yooni	80	0.333
qalekakayofoti	81	1.0
qalekakahyofoti	81	0.5
qalekakhahyofoti	81	0.333
qalekakayofohti	81	0.25
qalekakayorfoti	81	0.2
banuyowab	82	1.0
banuyoowab	82	0.5
banuyorwab	82	0.333
xijexutumuc	83	1.0
xijexootumuc	83	0.5
xijexootumuuc	83	0.333
xijexutumuuc	83	0.25
daqegeguvehire	84	1.0
daqegeguuvehire	84	0.5
daqegeguvehiree	84	0.333
daqegegoovehire	84	0.25
zuvumoy	85	1.0
zuvuumoy	85	0.5
nasutixuvuduy	86	1.0
nasutixoovuduy	86	0.5
nasutixuuvuduy	86	0.333
nasutixuvudooy	86	0.25
yilanikixif	87	1.0
yilanykixif	87	0.5
yilanigixif	87	0.333
yilanikeexif	87	0.25
cozayopekic	88	1.0
jozayopekic	88	0.5
cozayopehkic	88	0.333
cozayopekich	88	0.25
behuf	89	1.0
beehuf	89	0.5
behuuf	89	0.333
baehuf	89	0.25
nemakezabugo	90	1.0
nemakehzabugo	90	0.5
neemakezabugo	90	0.333
kosaruwefe	91	1.0
kosaruweefe	91	0.5
kosaaruwefe	91	0.333
kosahruwefe	91	0.25
kosaruuwefe	91	0.2
yubapa	92	1.0
yubaba	92	0.5
yubahpa	92	0.333
dur	93	1.0
duur	93	0.5
door	93	0.333
tagufov	94	1.0
taagufov	94	0.5
tahgufov	94	0.333
robura	95	1.0
rohburaa	95	0.5
rorbura	95	0.333
roboora	95	0.25
zewo	96	1.0
zaewo	96	0.5
zehwo	96	0.333
zeewo	96	0.25
dotigigudic	97	1.0
dortigygudic	97	0.5
dotigigudeec	97	0.333
doteegigudic	97	0.25
fezuquzizezihe	98	1.0
fezuquuzizezihe	98	0.5
fezuquziizezihe	98	0.333
fezooquzizezihe	98	0.25
huruzojida	99	1.0
hooruzojida	99	0.5
huruuzojyda	99	0.333
huuruzojida	99	0.25
mebegewatik	100	1.0
mebegewatig	100	0.5
mehbegewatik	100	0.333
kesopica	101	1.0
kesopiica	101	0.5
keshopica	101	0.333
cinohowawuxis	102	1.0
jinohowahwuxis	102	0.5
cinohowahwuxis	102	0.333
chinohowawuxis	102	0.25
cinorhowawuxis	102	0.2
xiwi	103	1.0
xiiwi	103	0.5
xiwy	103	0.333
xywi	103	0.25
xiwee	103	0.2
nucevihomorukac	104	1.0
nuceviihomorukac	104	0.5
nuceveehomorukac	104	0.333
nucevihomoruukac	104	0.25
jame	105	1.0
jamee	105	0.5
jameh	105	0.333
jamae	105	0.25
jukuyegilova	106	1.0
jukuuyegilova	106	0.5
jukuyegylova	106	0.333
jukuyegeelorva	106	0.25
jukuyegiloova	106	0.2
tud	107	1.0
thud	107	0.5
dud	107	0.333
tuud	107	0.25
tood	107	0.2
vulopefamigiw	108	1.0
vulopefamigyw	108	0.5
vulobefamigiw	108	0.333
vulopefamigeew	108	0.25
vulohpefamigiw	108	0.2
wurizaw	109	1.0
wurizaaw	109	0.5
wuurizaw	109	0.333
wurizahw	109	0.25
wureezaw	109	0.2
neb	110	1.0
nehb	110	0.5
neeb	110	0.333
naeb	110	0.25
ril	111	1.0
riil	111	0.5
reel	111	0.333
fawivezabirawe	112	1.0
fawivehzabirawe	112	0.5
fawivaezabirawe	112	0.333
fawivezaabirawe	112	0.25
jesidej	113	1.0
jeshidej	113	0.5
jeseedej	113	0.333
jesideej	113	0.25
tibiz	114	1.0
tybiz	114	0.5
tiibiz	114	0.333
teebiz	114	0.25
bucazifuduni	115	1.0
bucaazifuduni	115	0.5
bucazifuduny	115	0.333
buucazifuduni	115	0.25
xegow	116	1.0
xegoow	116	0.5
xehgow	116	0.333
nezugaqocuyi	117	1.0
nezugaqoocuyi	117	0.5
nezugaaqocuyi	117	0.333
gimaxikocosaqug	118	1.0
gimaxikocorsaqug	118	0.5
geemaxikocosaqug	118	0.333
mohasinamekecun	119	1.0
morhasinamekecun	119	0.5
mohasinamekecoon	119	0.333
mohasinahmekecun	119	0.25
nidafadah	120	1.0
nidafadahh	120	0.5
needafadah	120	0.333
nidafaadah	120	0.25
nopiliceh	121	1.0
nopilicaeh	121	0.5
nopeeliceh	121	0.333
norpiliceh	121	0.25
dowofopakuno	122	1.0
dowofopaakuno	122	0.5
doowofopakuno	122	0.333
dowofoopakuno	122	0.25
muwubirit	123	1.0
muuwubirit	123	0.5
muwubyrit	123	0.333
muwoobirit	123	0.25
rusu	124	1.0
roosu	124	0.5
ruusu	124	0.333
zenijuge	125	1.0
zenijugae	125	0.5
zenyjuge	125	0.333
zeniijuge	125	0.25
roma	126	1.0
romah	126	0.5
rohma	126	0.333
romaa	126	0.25
rorma	126	0.2
bakeciyabuh	127	1.0
baakeciyabuh	127	0.5
baakecyyabuh	127	0.333
bakeciyaabuh	127	0.25
hay	128	1.0
hahy	128	0.5
yap	129	1.0
yaph	129	0.5
yaap	129	0.333
novogov	130	1.0
nohvogov	130	0.5
novogorv	130	0.333
noovogov	130	0.25
mitejajokiyepe	131	1.0
mitejajokiyepae	131	0.5
mitejajohkiyephe	131	0.333
japidowolavo	132	1.0
japidowolavoo	132	0.5
japidowolaavo	132	0.333
qutiyugaye	133	1.0
quthiyugaye	133	0.5
qutiyugaaye	133	0.333
gejefaf	134	1.0
gehjefaf	134	0.5
gejefahf	134	0.333
gejeefaf	134	0.25
geejefaf	134	0.2
qenax	135	1.0
qehnax	135	0.5
qaenaax	135	0.333
qeenax	135	0.25
qaenax	135	0.2
rimipahicu	136	1.0
riimipahicu	136	0.5
rimipaahicu	136	0.333
rymipahicu	136	0.25
rimiphahicuu	136	0.2
ricafe	137	1.0
rijafeh	137	0.5
rycahfe	137	0.333
ricafee	137	0.25
dulovohef	138	1.0
dulorvohef	138	0.5
doolovohef	138	0.333
duulovohef	138	0.25
dulovohaef	138	0.2
robecukacaxab	139	1.0
robecukacaaxab	139	0.5
robecukachaxab	139	0.333
robecukajaxab	139	0.25
guba	140	1.0
gooba	140	0.5
gubaa	140	0.333
guuba	140	0.25
dasezojugo	141	1.0
daseezojugo	141	0.5
dasezojugor	141	0.333
yeyew	142	1.0
yehyaew	142	0.5
yeeyew	142	0.333
yeyeew	142	0.25
cenusigog	143	1.0
cenoosigog	143	0.5
jenusigog	143	0.333
chenusigorg	143	0.25
cehnuzigog	143	0.2
vicamuxu	144	1.0
vicamooxu	144	0.5
viicamuxu	144	0.333
vicamuxuu	144	0.25
vaka	145	1.0
vaaka	145	0.5
vahga	145	0.333
tesibehex	146	1.0
desibehex	146	0.5
tesibehaex	146	0.333
tehsibeehex	146	0.25
hini	147	1.0
hiini	147	0.5
hiny	147	0.333
hinee	147	0.25
tasik	148	1.0
tasyk	148	0.5
tahsik	148	0.333
taasik	148	0.25
thasik	148	0.2
yilafoqup	149	1.0
yeelafoqup	149	0.5
yilafohqup	149	0.333
yiilafoqup	149	0.25
vosowe	150	1.0
vosohwe	150	0.5
voosowee	150	0.333
vosowee	150	0.25
pecanuw	151	1.0
phecanuw	151	0.5
pecanoow	151	0.333
hugoxaqes	152	1.0
hugoxaqaes	152	0.5
hugorxaqes	152	0.333
mobeleb	153	1.0
mobelaeb	153	0.5
mobehleb	153	0.333
mobaeleb	153	0.25
zawot	154	1.0
zawoth	154	0.5
zahwod	154	0.333
zaawot	154	0.25
mixojipegenabi	155	1.0
mixojipeegenabi	155	0.5
mixojipaegenabi	155	0.333
lafupap	156	1.0
lafupaph	156	0.5
lafuphaph	156	0.333
lafuphap	156	0.25
lafupahp	156	0.2
qidesobalajiduv	157	1.0
qiidesobalajiduv	157	0.5
qidesobalajidoov	157	0.333
qidesobalaajiduv	157	0.25
dedoniwuzuwu	158	1.0
dedoniwuzuwoo	158	0.5
dehdoniwuzuwu	158	0.333
dedohniwuzuwu	158	0.25
dedoniwuzuuwu	158	0.2
xujitax	159	1.0
xujitahx	159	0.5
xoojitax	159	0.333
xujithax	159	0.25
xujitaax	159	0.2
focax	160	1.0
focaax	160	0.5
fohcax	160	0.333
focahx	160	0.25
juwedike	161	1.0
juwediike	161	0.5
juwedikee	161	0.333
malinuregujahom	162	1.0
malinureegujaahom	162	0.5
malinuregoojahom	162	0.333
datahah	163	1.0
datahahh	163	0.5
dahtahah	163	0.333
dahtahahh	163	0.25
dataahah	163	0.2
mesoronaxe	164	1.0
meshoronaxae	164	0.5
meshoronaxe	164	0.333
maesoronaxe	164	0.25
xopaci	165	1.0
xopahci	165	0.5
xorpaci	165	0.333
vofuciqenelako	166	1.0
vofuciqeneelako	166	0.5
vofuciqaenelako	166	0.333
vofoociqeenelako	166	0.25
vofuciqenelakho	166	0.2
qixeti	167	1.0
qiixetee	167	0.5
qixety	167	0.333
qixedi	167	0.25
kizomeguco	168	1.0
kizomegucho	168	0.5
kizomegooco	168	0.333
fuqi	169	1.0
fooqi	169	0.5
fuuqi	169	0.333
fuqee	169	0.25
fuqy	169	0.2
xucahaga	170	1.0
xucahagaa	170	0.5
xujahaga	170	0.333
xujahaaga	170	0.25
xoocahaga	170	0.2
loyofexov	171	1.0
loyofexorv	171	0.5
loyoofaexov	171	0.333
loryofexov	171	0.25
jopoqofoxukuw	172	1.0
jopoqofoxuguw	172	0.5
joboqofoxukuw	172	0.333
jopoqofoxukhuw	172	0.25
jopoqohfoxukuw	172	0.2
yumu	173	1.0
yoomu	173	0.5
yuumu	173	0.333
yumuu	173	0.25
hehusemuqavofe	174	1.0
hehusemuuqavofe	174	0.5
heehusemuqavofe	174	0.333
hehusemuqahvofae	174	0.25
haehusemuqahvofe	174	0.2
dekiwo	175	1.0
dekiiwo	175	0.5
degiwo	175	0.333
dekeewo	175	0.25
dekiwoh	175	0.2
cacoxad	176	1.0
cacoxaad	176	0.5
cacooxad	176	0.333
cahcoxad	176	0.25
cacoxahd	176	0.2
qecuhavikezi	177	1.0
qecoohavikezi	177	0.5
qaecuhavikezi	177	0.333
qecuhavykezi	177	0.25
fazo	178	1.0
faazor	178	0.5
fahzo	178	0.333
fazor	178	0.25
fedewur	179	1.0
faedewur	179	0.5
fedewoor	179	0.333
fedaewur	179	0.25
rekoxeyodetej	180	1.0
rekoxeyodehtej	180	0.5
rekoxeyohdetej	180	0.333
fewukapudosas	181	1.0
fewugabudosas	181	0.5
fewukapudohsas	181	0.333
fewukapudosash	181	0.25
fewukapudorsas	181	0.2
noyapikej	182	1.0
noyapikeej	182	0.5
noyaapikej	182	0.333
noyahpikej	182	0.25
noyapikehj	182	0.2
gidu	183	1.0
gidoo	183	0.5
gyduu	183	0.333
gydu	183	0.25
cuta	184	1.0
cutha	184	0.5
juta	184	0.333
bapof	185	1.0
bahpof	185	0.5
baphof	185	0.333
bapohf	185	0.25
tuga	186	1.0
tugah	186	0.5
tooga	186	0.333
vegepotut	187	1.0
vegepothut	187	0.5
vegepohtut	187	0.333
bifeyarodavi	188	1.0
bifeyahrodavi	188	0.5
bifaeyarodavi	188	0.333
bifeyarordavi	188	0.25
lohodepilayor	189	1.0
lohodepeelayor	189	0.5
lohodaepilayor	189	0.333
lohodebilayor	189	0.25
lohodepilayoor	189	0.2
kikoxuxodo	190	1.0
kikhoxuxodor	190	0.5
kiikoxuxodoo	190	0.333
pozuyuyokoj	191	1.0
pozuuyuyokoj	191	0.5
pozuyuuyokoj	191	0.333
zoc	192	1.0
zoch	192	0.5
zohc	192	0.333
gowefuvolamima	193	1.0
gowefuvoolamima	193	0.5
gowefuvolamiima	193	0.333
dododote	194	1.0
dododothe	194	0.5
dodordothe	194	0.333
dodoodote	194	0.25
wusejomucivez	195	1.0
wusejomuucivez	195	0.5
wusehjomucivez	195	0.333
wusejomuchivaez	195	0.25
wusejoomucivez	195	0.2
lukuyobadowilid	196	1.0
lookuyobadowiliid	196	0.5
luguyobadowilid	196	0.333
lukuyorbadowilid	196	0.25
lukuuyobadoweelid	196	0.2
runezuj	197	1.0
runehzuj	197	0.5
roonezuj	197	0.333
lizemoditigus	198	1.0
lizemoditiguus	198	0.5
lizemooditigus	198	0.333
lizemodiithigus	198	0.25
saxibeduqu	199	1.0
saxibeduuqu	199	0.5
sahxibeduqu	199	0.333
saxibeduquu	199	0.25
zaxibeduqu	199	0.2
kucupoqevamuc	200	1.0
kucupoqevamuuc	200	0.5
kucupooqevamuc	200	0.333
kucupohqevamuc	200	0.25
levojaquzeq	201	1.0
levojahquzeq	201	0.5
leevojaquzeq	201	0.333
levojaquuzeq	201	0.25
levojaqoozeq	201	0.2
fipuma	202	1.0
fiphuma	202	0.5
fipooma	202	0.333
fibuuma	202	0.25
feepuma	202	0.2
qafomexerekiyod	203	1.0
qafomexerekiiyod	203	0.5
qahfomexerekiyod	203	0.333
dayape	204	1.0
dayaape	204	0.5
daayape	204	0.333
dayapeh	204	0.25
dayahpe	204	0.2
siwatujakadomu	205	1.0
siwatujakahdomu	205	0.5
ziwatujakadomu	205	0.333
wojuxic	206	1.0
worjuxic	206	0.5
wojuxiic	206	0.333
wojooxic	206	0.25
wohjuxic	206	0.2
mevalidesu	207	1.0
mevahlidesu	207	0.5
mevaalidehsu	207	0.333
mevalidaesu	207	0.25
mehvalidesoo	207	0.2
lerokohaviruz	208	1.0
lerokorhaviruz	208	0.5
lerokhohaviruz	208	0.333
lerokohhaviruz	208	0.25
qevazosuvicir	209	1.0
qevazohsuvicir	209	0.5
qevazorsuvicir	209	0.333
qevazoshuvicir	209	0.25
heqoguyiti	210	1.0
heeqoguyiti	210	0.5
heqogooyiti	210	0.333
ziteyizibodu	211	1.0
zitaeyizibodu	211	0.5
ziteyiziboduu	211	0.333
zeeteyizibodu	211	0.25
xosi	212	1.0
xorsi	212	0.5
xosee	212	0.333
xoosi	212	0.25
pumac	213	1.0
bumach	213	0.5
pumach	213	0.333
wihacedug	214	1.0
weehacedug	214	0.5
wihahcedug	214	0.333
nucosiviz	215	1.0
nucosiviiz	215	0.5
nuucosiviz	215	0.333
nucohsiviz	215	0.25
carujiwey	216	1.0
caarujiwey	216	0.5
cahroojiwey	216	0.333
yasebimay	217	1.0
yasebymay	217	0.5
yasebimahy	217	0.333
yasebimaay	217	0.25
yashebimay	217	0.2
megidujayezoca	218	1.0
megidujahyezoca	218	0.5
megidujayezoja	218	0.333
megidujaayezoca	218	0.25
megidujayezohca	218	0.2
xuw	219	1.0
xuuw	219	0.5
xoow	219	0.333
zuva	220	1.0
zuuvaa	220	0.5
zuvah	220	0.333
zoovaa	220	0.25
zuvaa	220	0.2
zazojo	221	1.0
zazohjo	221	0.5
zaazojo	221	0.333
puqerew	222	1.0
puqeraew	222	0.5
puqereew	222	0.333
cufejeb	223	1.0
cuufejeb	223	0.5
coofejeb	223	0.333
naqiguxisaquli	224	1.0
naqiiguxisaquli	224	0.5
naqiguxysaquli	224	0.333
naqigooxishaquli	224	0.25
nodiwiti	225	1.0
nodiweeti	225	0.5
nodeewiti	225	0.333
noodiwiti	225	0.25
nodiwidi	225	0.2
toyek	226	1.0
tooyek	226	0.5
toyehk	226	0.333
toyeg	226	0.25
yajeyitu	227	1.0
yajeyiitu	227	0.5
yajaeyitu	227	0.333
yajeyituu	227	0.25
yaajeyitu	227	0.2
molusopekekayid	228	1.0
moluusopekekayid	228	0.5
molusopaekekayid	228	0.333
molusopekehkayid	228	0.25
ciyehiy	229	1.0
jiyehiy	229	0.5
ciyehiiy	229	0.333
xukovopibu	230	1.0
xukovopeebu	230	0.5
xukovopiboo	230	0.333
xukovophibu	230	0.25
xukorvopibu	230	0.2
gabuledojezexun	231	1.0
gaabuledojezexoon	231	0.5
gabuledojezehxun	231	0.333
gaabuledojezexun	231	0.25
gabooledojezexun	231	0.2
dum	232	1.0
doom	232	0.5
duum	232	0.333
xulegifolure	233	1.0
xulegifolurae	233	0.5
xuulegifolure	233	0.333
dedumif	234	1.0
dehdumif	234	0.5
dedumeef	234	0.333
deduumif	234	0.25
woguxuyinutom	235	1.0
woguxuyinuutom	235	0.5
worguxuyinutom	235	0.333
woguxuuyinutom	235	0.25
jat	236	1.0
jad	236	0.5
jath	236	0.333
jaht	236	0.25
jahd	236	0.2
guped	237	1.0
gubed	237	0.5
gupaed	237	0.333
guuped	237	0.25
gupehd	237	0.2
cozobudiyo	238	1.0
cozobudiyor	238	0.5
cozobudiiyo	238	0.333
cozobudiyoh	238	0.25
cozoobudiyo	238	0.2
wihereyi	239	1.0
wiheraeyi	239	0.5
weehereyi	239	0.333
givowop	240	1.0
givowoph	240	0.5
givowohp	240	0.333
givowob	240	0.25
xigobaqepova	241	1.0
xigobaqeepova	241	0.5
xeegobaqepova	241	0.333
xigobaqeporva	241	0.25
xobugi	242	1.0
xoboogi	242	0.5
xobugy	242	0.333
xorbugi	242	0.25
xobugii	242	0.2
qeloneyukugu	243	1.0
qelonaeyukhugu	243	0.5
qaeloneyukugu	243	0.333
qelonaeyukugu	243	0.25
qeloneyukuguu	243	0.2
fajamehax	244	1.0
fajamehahx	244	0.5
faajamehax	244	0.333
bole	245	1.0
bolae	245	0.5
bohle	245	0.333
boleh	245	0.25
vuzuset	246	1.0
vuzuzet	246	0.5
vuzuuset	246	0.333
voozuset	246	0.25
vuzushet	246	0.2
nojupuvonepax	247	1.0
nojupuvonehpax	247	0.5
nojupuvonepahx	247	0.333
nojupoovonepax	247	0.25
danorohirojexe	248	1.0
danorohirohjexe	248	0.5
danorrohirojexe	248	0.333
danorohirorjexe	248	0.25
danorohhirojexe	248	0.2
fewilozomomoxa	249	1.0
fehwilozomomoxa	249	0.5
fehwiloozomomoxa	249	0.333
nawuyeruhabaqo	250	1.0
nawuyeroohabaqo	250	0.5
nawuyehruhabaqo	250	0.333
yuvorejoz	251	1.0
yuuvorejoz	251	0.5
yuvorejorz	251	0.333
vapav	252	1.0
vaapav	252	0.5
vapahv	252	0.333
vahpav	252	0.25
vaphav	252	0.2
repafo	253	1.0
repahfo	253	0.5
repafoo	253	0.333
xulejenumokabot	254	1.0
xulaejaenumokabot	254	0.5
xulejenumokaboth	254	0.333
xulejenumogabot	254	0.25
kuvuxa	255	1.0
kuvuuxa	255	0.5
khuvuxa	255	0.333
koovuxah	255	0.25
gevagotim	256	1.0
gevahgotim	256	0.5
gevagoteem	256	0.333
gevagohtim	256	0.25
cihikapehiqa	257	1.0
cihikapeehiqah	257	0.5
cihikapehhiqa	257	0.333
cihikaapehiqa	257	0.25
rica	258	1.0
reeca	258	0.5
ricaa	258	0.333
rija	258	0.25
ricah	258	0.2
fofinekujusa	259	1.0
fofinekoojusa	259	0.5
fofinekuujusa	259	0.333
forfinekujusa	259	0.25
fofinekujoosa	259	0.2
bokupalelesa	260	1.0
bokupaleelesa	260	0.5
bokuphalelesa	260	0.333
bokupahlelesa	260	0.25
vamafitorupeget	261	1.0
vamafitorupegeht	261	0.5
vamafithorupeget	261	0.333
vamafitoorupeget	261	0.25
vamafitorupaeget	261	0.2
ron	262	1.0
roon	262	0.5
rohn	262	0.333
dijatoqex	263	1.0
dijatooqaex	263	0.5
dijaatoqex	263	0.333
dowexazudi	264	1.0
dowexazoodi	264	0.5
doowehxazudi	264	0.333
dowexaazudi	264	0.25
zedu	265	1.0
zeduu	265	0.5
